teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType,league
Fulham,43,40,43,3,24,355,3,3,1,8,27,9,243,112,7,16,13,47,34,28,109,137,109,172,385,136,7,21,2,19,51.620689655172,13855,11622,83.883074702274,7243,6566,90.653044318652,6612,5056,76.467029643073,1054,520,49.335863377609,521,140,26.871401151631,5,492,242,71,8,17,4,3,822,3,7,2664,1335,50.112612612613,1815,920,50.68870523416,849,415,48.881036513545,3659,50,322,60,0,0,6.7803571428571,2520,5104,5738,10842,75,55,47,691,165,101,514,392,162,5,17,12,249,248,637,1462,79,2,341,104,237,104,125,113,103,438,3613,6759,6187,12946,52,578,236,1316,262,48176,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
West Ham United,37,35,54,2,21,304,3,3,0,4,27,6,220,84,7,14,11,53,34,34,102,111,91,194,410,149,3,35,5,32,42.655172413793,10880,8614,79.172794117647,4878,4363,89.442394423944,6002,4251,70.826391202932,956,420,43.933054393305,477,102,21.383647798742,4,500,275,105,5,12,6,5,885,4,4,2859,1441,50.402238544946,1947,999,51.309707241911,912,442,48.464912280702,3735,53,320,51,1,3,6.7310096153846,3254,6525,6026,12551,78,52,44,673,182,164,704,425,181,6,17,13,208,308,581,1228,35,0,428,123,303,125,150,155,123,470,4376,8161,6565,14726,56,519,242,1330,310,48174,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Tottenham Hotspur,33,39,46,0,30,319,0,0,0,9,35,3,219,100,11,6,21,49,37,29,108,117,94,264,551,144,6,14,2,13,50.034482758621,11951,9721,81.340473600536,5857,5206,88.885094758409,6094,4515,74.089268132589,970,434,44.742268041237,593,135,22.765598650927,7,572,224,76,12,26,2,2,791,2,10,3145,1541,48.998410174881,2200,1111,50.5,945,430,45.502645502645,4009,45,336,75,1,4,6.753196347032,2462,5023,4914,9937,65,48,41,804,148,122,520,451,182,6,13,7,240,267,571,1399,60,1,373,99,258,115,150,124,99,584,3526,6725,5447,12172,52,575,234,1452,277,48171,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Crystal Palace,7,33,35,1,20,338,6,6,0,5,31,1,246,92,9,5,18,76,52,49,110,125,103,121,292,120,11,28,0,28,45.448275862069,11398,8893,78.022460080716,5451,4833,88.662630709961,5947,4060,68.269715823104,1037,437,42.140790742527,462,102,22.077922077922,10,548,249,86,5,16,5,4,949,4,7,3010,1482,49.235880398671,1865,928,49.758713136729,1145,554,48.384279475983,3899,54,309,61,1,2,6.8283618581907,2288,5313,6216,11529,69,40,46,930,142,140,540,472,223,3,20,9,251,226,681,1519,43,3,335,81,232,103,130,124,81,430,3470,7089,6795,13884,56,491,223,1348,265,48372,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Manchester United,35,51,40,2,36,462,3,5,1,6,41,8,302,160,10,12,27,84,57,55,167,174,121,192,413,128,18,30,3,27,53.448275862069,13726,11373,82.857351012677,5998,5370,89.529843281094,7728,6003,77.678571428571,937,490,52.294557097118,497,141,28.370221327968,5,528,225,66,3,15,3,3,706,2,5,2995,1519,50.717863105175,1987,1023,51.484650226472,1008,496,49.206349206349,3831,46,298,42,1,1,6.8777262180974,2419,4872,4599,9471,55,40,32,758,140,115,554,465,207,7,23,8,284,232,580,1481,50,5,316,95,219,97,115,106,95,471,3454,6649,5166,11815,62,543,198,1397,309,48427,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Chelsea,38,53,34,0,35,392,7,7,2,13,48,4,273,119,10,22,20,91,66,48,138,136,118,212,460,176,11,39,5,33,58.655172413793,15625,13606,87.0784,7952,7369,92.668511066398,7673,6237,81.285025413789,836,444,53.11004784689,518,106,20.46332046332,9,468,292,77,5,18,1,1,673,2,8,2758,1416,51.341551849166,1968,1006,51.117886178862,790,410,51.898734177215,3493,41,324,70,3,7,6.9011415525114,2042,3944,4857,8801,67,52,44,721,124,106,444,397,177,4,25,7,265,233,565,1383,47,3,317,83,220,97,122,112,83,478,3030,5494,5406,10900,65,453,192,1356,331,48371,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Burnley,6,32,58,4,22,263,2,2,0,13,27,2,160,103,6,11,12,40,30,21,85,95,83,141,345,100,8,16,1,14,41.206896551724,10973,8611,78.474437255081,5071,4504,88.818773417472,5902,4107,69.586580820061,988,399,40.384615384615,379,71,18.733509234828,3,490,267,106,8,18,6,5,891,8,3,2836,1335,47.073342736248,1826,875,47.918948521358,1010,460,45.544554455446,3803,48,290,49,1,2,6.6448979591837,3376,6866,6306,13172,91,65,51,754,172,177,648,470,236,4,11,13,242,346,601,1355,44,1,476,127,316,160,183,166,127,445,4497,8588,6909,15497,35,527,303,1293,256,48172,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Everton,48,34,33,1,25,321,2,2,0,10,30,2,218,103,6,10,14,52,41,31,99,122,100,191,454,129,14,16,3,13,44.068965517241,11224,8958,79.811119030649,4704,4170,88.647959183673,6520,4788,73.435582822086,849,360,42.402826855124,525,116,22.095238095238,10,528,241,78,5,21,3,2,868,7,11,3214,1697,52.800248911014,2030,1043,51.379310344828,1184,654,55.236486486486,3927,38,307,54,1,4,6.8591133004926,2882,5738,6403,12141,68,52,44,865,144,122,515,440,183,5,17,12,218,275,564,1410,36,0,385,123,259,126,145,117,123,523,3933,7394,7021,14415,52,555,224,1402,330,48670,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Newcastle United,39,42,43,2,23,386,6,6,0,8,35,7,250,136,8,10,24,70,46,49,137,136,113,204,430,194,16,25,3,24,53.172413793103,13157,10995,83.567682602417,5792,5268,90.953038674033,7365,5727,77.75967413442,1008,508,50.396825396825,727,156,21.458046767538,7,420,205,81,7,23,4,4,768,1,6,2890,1455,50.346020761246,1925,937,48.675324675325,965,518,53.678756476684,3823,42,300,49,2,3,6.8103926096998,2354,4905,4443,9348,61,44,37,861,143,108,452,427,227,7,13,9,273,253,540,1532,35,2,331,93,226,105,116,122,93,489,3408,6668,5020,11688,67,527,206,1450,321,48147,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Liverpool,44,48,39,0,32,458,1,2,3,13,41,5,298,160,4,7,34,80,64,54,131,174,153,236,468,174,13,42,4,38,60.206896551724,15694,13495,85.988275774181,6215,5664,91.13435237329,9479,7831,82.614199810107,1002,486,48.502994011976,607,129,21.252059308072,9,390,189,67,4,20,4,3,768,1,6,2671,1382,51.74092100337,1823,916,50.246845858475,848,466,54.952830188679,3777,61,286,44,0,1,6.8688524590164,1987,3773,4220,7993,57,41,33,879,130,97,471,363,169,12,20,13,277,224,548,1572,39,5,314,93,201,113,117,104,93,468,3086,5482,4750,10232,56,564,200,1308,294,48102,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Real Madrid,2829,56,23,0,41,493,11,13,0,14,48,8,310,183,6,8,42,94,69,58,184,182,127,282,578,177,12,38,7,31,59.851851851852,16013,14354,89.639667769937,6012,5644,93.878908848969,10001,8710,87.091290870913,945,570,60.31746031746,433,106,24.480369515012,11,456,196,57,3,14,4,4,455,3,7,2494,1372,55.012028869286,1995,1086,54.436090225564,499,286,57.314629258517,2971,43,273,50,1,6,7.0610421836228,1914,4014,4812,8826,50,43,34,653,95,90,368,375,165,7,21,9,254,217,538,1219,24,10,273,81,169,104,110,82,81,494,2656,5199,5377,10576,63,429,180,1292,349,48745,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Real Oviedo,2851,16,43,0,11,259,1,2,0,3,14,2,166,93,5,5,6,43,28,34,82,114,63,198,411,106,8,19,2,17,44.038461538462,9815,7976,81.2633723892,5300,4744,89.509433962264,4515,3232,71.583610188261,993,503,50.654582074522,435,105,24.137931034483,6,481,207,113,7,20,6,4,689,1,3,2521,1301,51.606505355018,1817,941,51.78866263071,704,360,51.136363636364,3123,56,329,53,4,8,6.7204433497537,2877,5633,5384,11017,74,50,44,583,154,136,502,443,197,2,15,11,199,296,569,1171,32,3,396,99,255,141,142,155,99,385,3748,6978,5832,12810,36,484,206,1164,271,48109,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Deportivo Alavés,2885,23,34,0,12,313,4,4,1,5,19,3,198,115,4,3,15,57,42,40,103,134,76,209,455,132,7,22,1,21,50.961538461538,11220,9078,80.909090909091,5042,4479,88.833796112654,6178,4599,74.441566850113,872,409,46.903669724771,525,124,23.619047619048,3,482,206,67,3,11,3,3,617,2,4,3034,1461,48.154251812788,2164,1029,47.550831792976,870,432,49.655172413793,3655,54,397,57,3,3,6.7135338345865,2156,4484,4507,8991,57,40,34,660,123,113,448,473,235,5,15,9,236,238,701,1443,38,4,329,103,214,115,124,102,103,530,3131,6033,5023,11056,49,516,199,1304,343,48317,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Celta Vigo,2821,37,30,1,22,295,7,7,0,5,32,4,189,106,2,12,22,61,44,33,112,110,73,176,391,112,3,24,3,22,50.481481481481,13457,11582,86.066731069332,6550,5979,91.282442748092,6907,5603,81.120602287534,973,513,52.723535457348,323,70,21.671826625387,8,386,197,77,5,16,8,3,673,1,5,2190,1076,49.132420091324,1723,858,49.796865931515,467,218,46.680942184154,3033,50,303,49,1,1,6.8240654205607,2873,5909,5324,11233,52,37,38,478,127,113,539,375,183,4,15,11,246,225,583,1301,57,8,316,90,201,115,119,107,90,402,3777,7266,5758,13024,65,474,202,1200,305,48412,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Real Betis,2816,42,32,1,28,378,2,2,0,9,34,7,229,149,7,10,24,70,52,42,125,149,104,181,364,116,14,54,4,51,48.923076923077,11820,9963,84.289340101523,5511,5066,91.925240428234,6309,4897,77.61927405294,929,471,50.699677072121,388,90,23.19587628866,8,445,237,81,4,9,4,1,780,2,3,2521,1277,50.654502181674,1874,955,50.960512273212,647,322,49.768160741886,3108,38,274,52,0,1,6.8768831168831,2254,4778,5515,10293,56,47,40,538,141,114,503,474,253,6,23,3,207,243,561,1188,77,3,332,85,204,128,134,113,85,414,3182,6207,6007,12214,68,427,199,1268,337,48668,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Espanyol,2814,33,39,2,21,322,3,4,0,11,28,4,210,112,10,11,11,55,43,38,108,131,83,163,330,111,5,25,5,21,41.884615384615,9233,7301,79.075056861259,4388,3949,89.995442114859,4845,3352,69.184726522188,879,365,41.524459613197,559,129,23.076923076923,7,427,221,82,4,7,5,5,613,3,3,2560,1237,48.3203125,1784,880,49.32735426009,776,357,46.005154639175,3284,38,345,54,2,3,6.7479115479116,2373,5214,5934,11148,57,41,32,714,116,108,451,439,224,5,10,10,197,247,691,1392,34,2,334,98,224,110,114,122,98,370,3299,6635,6469,13104,60,506,190,1171,303,48490,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Getafe,2859,21,29,2,18,250,2,3,0,5,18,3,142,108,6,5,10,31,24,14,71,100,79,164,341,115,3,8,1,7,40.615384615385,7712,5403,70.059647302905,2829,2389,84.446800989749,4883,3014,61.724349784968,1033,410,39.690222652469,503,111,22.0675944334,7,483,221,82,5,10,1,1,701,1,6,2944,1447,49.150815217391,1990,1019,51.206030150754,954,428,44.863731656184,3786,62,386,67,2,5,6.6924731182796,2031,4565,5041,9606,53,37,34,803,113,106,407,459,211,2,10,8,155,206,646,1543,70,4,274,58,175,99,109,107,58,404,3057,6169,5751,11920,57,625,186,1187,378,48413,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Valencia,2828,27,39,2,20,288,4,7,0,10,24,3,188,100,5,8,14,49,35,31,73,124,91,191,383,130,10,21,4,18,48.769230769231,10814,8850,81.838357684483,5406,4869,90.066592674806,5408,3981,73.613165680473,939,451,48.029818956337,482,105,21.784232365145,7,394,198,70,6,6,6,5,721,3,15,2412,1196,49.585406301824,1719,866,50.378126817917,693,330,47.619047619048,3220,38,320,54,0,2,6.7273838630807,2320,5050,4539,9589,59,40,36,657,127,102,450,361,166,0,13,4,219,234,627,1304,64,5,310,73,200,110,129,108,73,386,3264,6480,5007,11487,60,491,194,1185,285,48315,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Atlético Madrid,2836,43,23,0,25,343,2,3,2,7,34,5,240,103,7,16,16,76,60,48,140,131,72,191,411,175,10,26,5,23,55.153846153846,13687,11763,85.942865492803,6302,5759,91.383687718185,7385,6004,81.299932295193,928,544,58.620689655172,559,148,26.475849731664,11,411,198,58,3,13,2,1,522,0,1,2481,1233,49.697702539299,1757,839,47.751849743882,724,394,54.419889502762,3297,55,292,47,1,2,6.8878345498783,2177,4747,4551,9298,50,37,33,694,101,94,434,419,225,4,7,5,217,201,598,1330,35,0,274,65,160,114,128,81,65,424,3056,6150,5049,11199,53,504,211,1259,240,48491,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Girona FC,24264,27,42,1,19,261,6,7,0,8,24,3,172,89,2,10,15,53,38,35,105,80,76,243,480,111,5,23,2,21,49.153846153846,11785,10014,84.972422571065,6128,5601,91.400130548303,5657,4413,78.009545695598,849,436,51.354534746761,371,73,19.676549865229,4,401,202,84,7,18,6,5,676,2,5,2507,1274,50.81771041085,1912,979,51.202928870293,595,295,49.579831932773,3075,53,285,58,2,7,6.740897755611,2811,5515,4990,10505,66,46,38,507,137,142,528,359,182,1,8,14,183,289,577,1192,44,1,396,91,264,132,181,124,91,483,3733,6885,5377,12262,49,421,226,1194,340,48069,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Rayo Vallecano,2818,26,32,1,17,353,3,4,0,17,25,1,199,154,4,12,10,65,44,42,123,144,86,175,349,155,8,29,2,27,53.692307692308,11188,9246,82.64211655345,5599,5081,90.748347919271,5589,4165,74.521381284666,1002,460,45.908183632735,523,105,20.076481835564,8,452,207,70,2,17,5,5,650,3,6,2405,1164,48.399168399168,1811,890,49.144119271121,594,274,46.127946127946,3343,56,343,67,2,7,6.7503703703704,1898,3727,4042,7769,57,40,32,655,129,99,438,441,219,5,11,8,191,225,619,1380,25,4,307,94,193,114,109,104,94,378,2849,5214,4534,9748,54,515,218,1316,269,48070,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Real Sociedad,2824,38,38,1,24,338,5,5,1,7,30,8,210,128,5,16,17,70,55,46,126,120,92,194,406,154,4,32,7,27,49.846153846154,11273,9312,82.60445311807,5325,4804,90.215962441315,5948,4508,75.790181573638,794,377,47.481108312343,482,114,23.651452282158,2,484,201,60,4,7,5,5,639,6,3,2704,1338,49.48224852071,1951,957,49.051768323936,753,381,50.597609561753,3354,57,385,53,0,3,6.7781326781327,2309,4752,4755,9507,58,45,33,664,118,99,401,451,225,9,18,13,210,258,706,1515,43,3,330,87,212,118,142,101,87,404,3196,6230,5294,11524,64,503,208,1158,290,48316,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Osasuna,2820,32,32,0,23,303,4,5,2,11,24,7,212,91,8,12,11,47,34,24,91,131,81,199,428,91,7,25,2,23,45,10121,8054,79.577116885683,4643,4125,88.843420202455,5478,3929,71.723256663016,989,462,46.713852376138,510,130,25.490196078431,6,414,214,93,6,7,6,6,736,1,5,2667,1329,49.831271091114,1856,897,48.32974137931,811,432,53.267570900123,3492,37,363,66,1,5,6.8128329297821,2736,5364,5240,10604,58,43,38,733,129,112,491,386,174,3,11,4,185,261,665,1458,51,3,347,86,204,143,135,126,86,445,3744,6889,5758,12647,64,511,239,1291,293,48746,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Elche,2846,34,39,0,23,287,2,3,1,5,28,5,199,88,0,14,19,51,39,32,103,107,77,209,413,94,5,21,5,14,58.846153846154,13422,11557,86.104902399046,6349,5812,91.541975114191,7073,5745,81.224374381451,736,363,49.320652173913,400,99,24.75,6,432,210,82,4,15,5,5,569,2,6,2522,1302,51.625693893735,1904,1011,53.098739495798,618,291,47.087378640777,3211,42,328,52,1,4,6.8260975609756,1971,3833,3512,7345,85,68,55,588,116,112,428,382,164,3,6,10,216,294,534,1222,50,1,376,102,252,124,149,125,102,429,2902,5223,3919,9142,59,434,202,1248,374,48667,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
